ID,titulo_noticia,medio,palabra,puntuacion
id_168,Qué tan peligrosa es y cómo reconocer la Mosca de la Fruta: aumentaron en Chile en los últimos años,bbcl,contaminar,-2
id_168,Qué tan peligrosa es y cómo reconocer la Mosca de la Fruta: aumentaron en Chile en los últimos años,bbcl,cumplir,2
id_169,"Presidente Boric defiende el ""multilateralismo, diálogo y libre comercio justo"" en foro China-Celac",bbcl,importancia,2
id_169,"Presidente Boric defiende el ""multilateralismo, diálogo y libre comercio justo"" en foro China-Celac",bbcl,crisis,-3
id_169,"Presidente Boric defiende el ""multilateralismo, diálogo y libre comercio justo"" en foro China-Celac",bbcl,promoviendo,1
id_171,¿Qué piensa el Papa León XIV sobre...? La postura del sumo pontífice respecto de temas controversiales,bbcl,comprometido,1
id_171,¿Qué piensa el Papa León XIV sobre...? La postura del sumo pontífice respecto de temas controversiales,bbcl,paz,2
id_171,¿Qué piensa el Papa León XIV sobre...? La postura del sumo pontífice respecto de temas controversiales,bbcl,espera,-1
id_171,¿Qué piensa el Papa León XIV sobre...? La postura del sumo pontífice respecto de temas controversiales,bbcl,abusos,-3
id_172,Usach postula al sociólogo Cristian Parker al Premio Nacional de Humanidades y Ciencias Sociales 2025,bbcl,popular,3
id_173,Día Mundial del Asma: la compleja enfermedad crónica en alza en Chile y los factores que la provocan,bbcl,celebra,3
id_173,Día Mundial del Asma: la compleja enfermedad crónica en alza en Chile y los factores que la provocan,bbcl,enfermedad,-2
id_173,Día Mundial del Asma: la compleja enfermedad crónica en alza en Chile y los factores que la provocan,bbcl,provoca,-1
id_173,Día Mundial del Asma: la compleja enfermedad crónica en alza en Chile y los factores que la provocan,bbcl,importancia,2
id_173,Día Mundial del Asma: la compleja enfermedad crónica en alza en Chile y los factores que la provocan,bbcl,evitar,-1
id_173,Día Mundial del Asma: la compleja enfermedad crónica en alza en Chile y los factores que la provocan,bbcl,evitar,-1
id_173,Día Mundial del Asma: la compleja enfermedad crónica en alza en Chile y los factores que la provocan,bbcl,evitar,-1
id_175,"Boric en Brasil: ""Tenemos que defender el multilateralismo como herramienta para enfrentar desafíos""",bbcl,justa,2
id_175,"Boric en Brasil: ""Tenemos que defender el multilateralismo como herramienta para enfrentar desafíos""",bbcl,importancia,2
id_175,"Boric en Brasil: ""Tenemos que defender el multilateralismo como herramienta para enfrentar desafíos""",bbcl,crisis,-3
id_175,"Boric en Brasil: ""Tenemos que defender el multilateralismo como herramienta para enfrentar desafíos""",bbcl,oportunidad,2
id_175,"Boric en Brasil: ""Tenemos que defender el multilateralismo como herramienta para enfrentar desafíos""",bbcl,oportunidad,2
id_175,"Boric en Brasil: ""Tenemos que defender el multilateralismo como herramienta para enfrentar desafíos""",bbcl,lucha,-1
id_175,"Boric en Brasil: ""Tenemos que defender el multilateralismo como herramienta para enfrentar desafíos""",bbcl,lucha,-2
id_175,"Boric en Brasil: ""Tenemos que defender el multilateralismo como herramienta para enfrentar desafíos""",bbcl,solidaridad,2
